filename,dist_2opt,time_2opt_ms,dist_3opt,time_3opt_ms
tsp_100_1,23211.724225,58,21807.814988,9643
tsp_100_2,24879.912606,42,23014.979152,13002
tsp_100_3,25533.285498,40,21518.145400,10339
tsp_100_4,25818.830393,50,21478.609570,13150
tsp_100_5,25430.652742,38,22328.179346,14641
tsp_100_6,9634.540063,38,8215.686065,10772
tsp_51_1,488.737949,4,440.585522,897
tsp_5_1,4.000000,0,4.000000,0
tsp_70_1,751.067275,11,705.411515,2729
tsp_76_1,606.043113,22,569.580674,2605
tsp_76_2,120089.278209,16,110204.994274,4968
tsp_99_1,1314.583173,38,1266.368413,13554
