instance,algorithm,length_ms,time_ms
tsp_100_1,3opt_openmp,22333.6,8
tsp_100_2,3opt_openmp,23327.3,5
tsp_100_3,3opt_openmp,21746.2,5
tsp_100_4,3opt_openmp,21963.1,7
tsp_100_5,3opt_openmp,23136.4,3
tsp_100_6,3opt_openmp,8754.79,3
tsp_101_1,3opt_openmp,671.273,3
tsp_105_1,3opt_openmp,15254.4,5
tsp_107_1,3opt_openmp,44698.5,4
tsp_124_1,3opt_openmp,61842.7,5
tsp_127_1,3opt_openmp,135707,7
tsp_136_1,3opt_openmp,100662,11
tsp_144_1,3opt_openmp,62186,6
tsp_150_1,3opt_openmp,28187.3,10
tsp_150_2,3opt_openmp,27804.1,10
tsp_152_1,3opt_openmp,76400.4,8
tsp_159_1,3opt_openmp,45922.9,11
tsp_195_1,3opt_openmp,2473.96,12
tsp_198_1,3opt_openmp,16403.5,17
tsp_200_1,3opt_openmp,31321.3,20
tsp_200_2,3opt_openmp,31499.5,23
tsp_225_1,3opt_openmp,129434,17
tsp_226_1,3opt_openmp,84544.4,16
tsp_262_1,3opt_openmp,2574.29,37
tsp_264_1,3opt_openmp,54849.3,23
tsp_299_1,3opt_openmp,51004,67
tsp_318_1,3opt_openmp,46289.2,67
tsp_318_2,3opt_openmp,46289.2,60
tsp_400_1,3opt_openmp,15906.2,126
tsp_417_1,3opt_openmp,12743.3,140
tsp_439_1,3opt_openmp,114122,157
tsp_442_1,3opt_openmp,54267.7,151
tsp_493_1,3opt_openmp,36147.9,318
tsp_51_1,3opt_openmp,440.155,0
tsp_574_1,3opt_openmp,39538.7,317
tsp_575_1,3opt_openmp,7196.09,439
tsp_5_1,3opt_openmp,4,0
tsp_654_1,3opt_openmp,35806.3,958
tsp_657_1,3opt_openmp,51720,558
tsp_70_1,3opt_openmp,713.977,1
tsp_724_1,3opt_openmp,44714.6,835
tsp_76_1,3opt_openmp,560.291,1
tsp_76_2,3opt_openmp,116186,1
tsp_783_1,3opt_openmp,9423.34,853
tsp_99_1,3opt_openmp,1281.27,3
